Rank,nom,Score
1,Akoa,1.7192061860674952
2,Clarke,0.8891839976663161
3,Bankole,0.8163114182445587
4,Malonga,0.8028228559073294
5,Leite,0.7368854666701152
6,Franchelin,0.6632220160532061
7,Bernies,0.6477104208561908
8,Mdnijadeu,0.5992978771650266
9,Quevedo,0.47042781954290763
10,Peters,0.3481183812696609
11,Enabosi,0.31265808760698843
12,Bone,-0.10559649187486322
13,Maeva,-0.23029746557763506
14,Xojta,-0.24135359177836607
15,Thomas,-0.3923096091687082
16,Daramy,-0.40846908071652743
17,Chevaugeon,-0.42124398709694333
18,Naigre,-0.636941010928858
19,Ana,-0.7603300223596783
20,Balogun,-0.8073381359911348
21,Chidom,-0.917362957254617
22,Foppossi,-1.5379775329664038
23,Gueye,-1.5466246413360485
