Rank,nom,Score
1,Diaby,2.0884166829983806
2,Astier,1.2005060514529993
3,Alston,1.0355470662402138
4,Adams,1.0319124244228162
5,Musa,0.8223925295262402
6,Luisa,0.4930332363668804
7,Droguet,0.42737263835142886
8,Okokwo,0.27647637057937297
9,Green,0.2622531031815938
10,Spannou,0.015033682233118711
11,Woolfok,-0.00022748935165742973
12,Clarince,-0.07800046353940668
13,Akhator,-0.3756828357228662
14,Duchet,-0.3915982138267106
15,Thaahane,-0.5217806844259283
16,Mccarthyy,-0.5220018358098444
17,Diarisso,-0.8883655248008242
18,Zodia,-0.9883472288020246
19,Gomis,-0.997372783618541
20,Baker,-1.3067641121487343
21,Philips,-1.582802613306517
